playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
gearrco01,2016,1,SFN,NL,OF,1,0,0,0,0,0,0,,,,,
gearrco01,2016,1,SFN,NL,P,56,0,145,2,5,0,1,,,,,
geedi01,2016,1,KCA,AL,P,33,14,375,5,12,3,3,,,,,
geltzst01,2016,1,TBA,AL,P,27,0,80,1,1,0,0,,,,,
gennesc01,2016,1,MIL,NL,2B,127,121,3186,206,344,14,73,,,,,
gentrcr01,2016,1,LAA,AL,OF,13,10,279,28,1,1,0,,,,,
germego01,2016,1,COL,NL,P,40,0,122,5,3,0,0,,,,,
giavojo01,2016,1,LAA,AL,2B,97,90,2306,165,186,5,54,,,,,
gibsoky01,2016,1,MIN,AL,P,25,25,442,12,27,0,1,,,,,
gileske01,2016,1,HOU,AL,P,69,0,197,4,5,0,0,,,,,
gillaco01,2016,1,SFN,NL,1B,7,3,96,29,2,0,3,,,,,
gillaco01,2016,1,SFN,NL,3B,45,34,914,11,62,2,6,,,,,
gilleco01,2016,1,MIA,NL,1B,1,0,6,3,0,0,0,,,,,
gilleco01,2016,1,MIA,NL,OF,8,5,148,13,1,1,0,,,,,
gilmase01,2016,1,NYN,NL,P,14,1,53,0,5,0,0,,,,,
gimench01,2016,1,CLE,AL,1B,4,0,18,3,0,0,1,,,,,
gimench01,2016,1,CLE,AL,3B,3,1,29,1,2,0,1,,,,,
gimench01,2016,1,CLE,AL,C,59,42,1169,355,26,3,2,5,,17,6,
gimench01,2016,1,CLE,AL,P,2,0,9,0,0,0,0,,,,,
giolilu01,2016,1,WAS,NL,P,6,4,64,1,3,0,0,,,,,
girodch01,2016,1,TOR,AL,P,14,0,31,3,0,1,0,,,,,
givenmy01,2016,1,BAL,AL,P,66,0,224,1,13,0,1,,,,,
glasnty01,2016,1,PIT,NL,P,7,4,70,0,2,1,1,,,,,
gloveko01,2016,1,WAS,NL,P,19,0,59,1,3,1,0,,,,,
godleza01,2016,1,ARI,NL,P,27,9,224,5,14,2,1,,,,,
goedder01,2016,1,NYN,NL,P,36,0,107,1,2,1,0,,,,,
goeddty01,2016,1,PHI,NL,OF,77,56,1490,88,5,3,3,,,,,
goforda01,2016,1,MIL,NL,P,10,0,32,0,2,0,0,,,,,
goinsry01,2016,1,TOR,AL,1B,2,0,16,4,1,0,0,,,,,
goinsry01,2016,1,TOR,AL,2B,37,32,873,64,95,3,20,,,,,
goinsry01,2016,1,TOR,AL,3B,6,2,63,2,4,1,0,,,,,
goinsry01,2016,1,TOR,AL,OF,3,0,36,3,0,0,0,,,,,
goinsry01,2016,1,TOR,AL,P,1,0,3,1,0,0,0,,,,,
goinsry01,2016,1,TOR,AL,SS,28,16,452,31,65,1,16,,,,,
goldspa01,2016,1,ARI,NL,1B,157,157,4168,1378,116,4,127,,,,,
gomesya01,2016,1,CLE,AL,C,73,65,1747,539,32,3,3,4,,19,11,
gomezca01,2016,1,HOU,AL,OF,78,77,2031,157,7,1,1,,,,,
gomezca01,2016,2,TEX,AL,OF,33,32,825,68,0,1,0,,,,,
gomezje01,2016,1,PHI,NL,P,70,0,206,7,9,1,0,,,,,
gonzaad01,2016,1,LAN,NL,1B,151,146,3886,1105,85,2,77,,,,,
gonzaca01,2016,1,COL,NL,OF,148,145,3783,251,8,3,0,,,,,
gonzach01,2016,1,TEX,AL,P,3,3,31,0,1,0,0,,,,,
gonzaer01,2016,1,CLE,AL,2B,5,0,33,1,2,0,0,,,,,
gonzaer01,2016,1,CLE,AL,3B,2,0,6,0,0,0,0,,,,,
gonzaer01,2016,1,CLE,AL,OF,2,1,30,1,0,0,0,,,,,
gonzaer01,2016,1,CLE,AL,SS,8,1,55,5,6,0,2,,,,,
gonzagi01,2016,1,WAS,NL,P,32,32,532,13,26,1,0,,,,,
gonzama01,2016,1,HOU,AL,1B,92,74,2031,640,69,6,57,,,,,
gonzama01,2016,1,HOU,AL,2B,14,8,237,14,20,1,6,,,,,
gonzama01,2016,1,HOU,AL,3B,22,16,475,12,42,1,2,,,,,
gonzama01,2016,1,HOU,AL,OF,19,14,332,26,1,0,0,,,,,
gonzama01,2016,1,HOU,AL,SS,11,6,199,9,18,0,3,,,,,
gonzami03,2016,1,CHA,AL,P,24,23,405,12,13,0,1,,,,,
gonzase01,2016,1,PHI,NL,P,27,0,106,1,3,0,1,,,,,
goodwbr01,2016,1,WAS,NL,OF,14,10,237,14,0,0,0,,,,,
goodyni01,2016,1,NYA,AL,P,27,0,87,1,3,0,0,,,,,
gordoal01,2016,1,KCA,AL,OF,126,125,3301,222,6,2,1,,,,,
gordode01,2016,1,MIA,NL,2B,78,73,1966,150,186,7,51,,,,,
gorete01,2016,1,KCA,AL,OF,2,0,15,3,0,0,0,,,,,
gorzeto01,2016,1,CLE,AL,P,7,0,9,0,0,0,0,,,,,
gosean01,2016,1,DET,AL,OF,30,27,714,59,1,0,0,,,,,
gosewtu01,2016,1,ARI,NL,C,31,27,702,241,20,1,1,3,,12,4,
gosseph01,2016,1,ARI,NL,1B,6,4,123,44,7,0,3,,,,,
gosseph01,2016,1,ARI,NL,2B,35,21,586,36,50,0,12,,,,,
gosseph01,2016,1,ARI,NL,3B,10,5,122,3,7,0,0,,,,,
gosseph01,2016,1,ARI,NL,OF,3,2,55,6,0,0,0,,,,,
gotttr01,2016,1,WAS,NL,P,9,0,18,0,0,0,0,,,,,
gourryu01,2016,1,HOU,AL,1B,5,4,108,35,4,0,9,,,,,
gourryu01,2016,1,HOU,AL,3B,21,20,528,13,30,1,1,,,,,
gourryu01,2016,1,HOU,AL,OF,1,1,24,0,0,0,0,,,,,
gracema02,2016,1,WAS,NL,P,5,0,9,0,0,0,0,,,,,
grahajr01,2016,1,MIN,AL,P,1,0,5,0,0,0,0,,,,,
grandcu01,2016,1,NYN,NL,OF,140,138,3629,273,8,0,1,,,,,
grandya01,2016,1,LAN,NL,1B,4,2,57,24,1,0,1,,,,,
grandya01,2016,1,LAN,NL,C,115,106,2863,1022,55,5,4,10,,59,24,
grateju01,2016,1,LAA,AL,C,9,4,126,31,3,0,0,0,,4,1,
graveke01,2016,1,OAK,AL,P,31,31,558,15,27,0,2,,,,,
grayjo02,2016,1,COL,NL,P,29,29,504,8,10,1,0,,,,,
grayso01,2016,1,OAK,AL,P,22,22,351,10,11,1,3,,,,,
greench03,2016,1,NYA,AL,P,12,8,137,4,5,0,2,,,,,
greengr01,2016,1,SFN,NL,2B,15,11,297,17,24,2,6,,,,,
greensh02,2016,1,DET,AL,P,50,3,181,1,6,0,0,,,,,
gregelu01,2016,1,HOU,AL,P,59,0,173,6,14,0,1,,,,,
gregodi01,2016,1,NYA,AL,SS,153,148,3928,180,380,15,68,,,,,
greinza01,2016,1,ARI,NL,P,26,26,476,20,28,1,4,,,,,
grichra01,2016,1,SLN,NL,OF,119,111,2983,232,8,1,1,,,,,
griffaj01,2016,1,TEX,AL,P,23,23,357,1,9,0,1,,,,,
grillja01,2016,1,ATL,NL,P,21,0,51,1,0,0,0,,,,,
grillja01,2016,2,TOR,AL,P,46,0,126,1,4,1,0,,,,,
grimmju01,2016,1,CHN,NL,P,68,0,158,3,5,0,0,,,,,
grossro01,2016,1,MIN,AL,OF,75,72,1912,122,4,8,1,,,,,
gsellro01,2016,1,NYN,NL,P,8,7,134,2,9,0,1,,,,,
guaipma01,2016,1,SEA,AL,P,5,0,22,0,0,0,0,,,,,
guerrde01,2016,1,LAA,AL,P,44,0,160,3,2,0,0,,,,,
guerrja01,2016,1,LAA,AL,P,7,0,19,0,1,0,0,,,,,
guerrju02,2016,1,MIL,NL,P,20,20,365,10,11,2,1,,,,,
guerrta01,2016,1,SDN,NL,P,1,0,6,0,0,0,0,,,,,
gurkaja01,2016,1,COL,NL,P,6,0,29,1,5,1,0,,,,,
gustaja01,2016,1,HOU,AL,P,14,0,46,1,1,0,0,,,,,
