yearID,teamID,lgID,playerID,salary,pos
2016,LAD,NL,kershcl01,33000000,P
2016,ARI,NL,greinza01,31799030,P
2016,BOS,AL,priceda01,30000000,P
2016,DET,AL,cabremi01,28000000,B
2016,DET,AL,verlaju01,28000000,P
2016,NYM,NL,cespeyo01,27328046,B
2016,SEA,AL,hernafe02,25857143,P
2016,CHC,NL,lestejo01,25000000,P
2016,LAA,AL,pujolal01,25000000,B
2016,NYY,AL,sabatcc01,25000000,P
2016,SEA,AL,canoro01,24000000,B
2016,TEX,AL,fieldpr01,24000000,B
2016,TEX,AL,hamiljo03,24000000,B
2016,NYY,AL,teixema01,23125000,B
2016,MIN,AL,mauerjo01,23000000,B
2016,BOS,AL,ramirha01,22750000,B
2016,TEX,AL,hamelco01,22500000,P
2016,WSN,NL,scherma01,22142857,P
2016,DET,AL,uptonju01,22125000,B
2016,COL,NL,reyesjo01,22000000,B
2016,NYY,AL,tanakma01,22000000,P
2016,WSN,NL,werthja01,21733615,B
2016,SDP,NL,kempma01,21500000,B
2016,BAL,AL,davisch02,21268890,B
2016,NYY,AL,ellsbja01,21142857,B
2016,LAD,NL,gonzaad01,21000000,B
2016,NYY,AL,rodrial01,21000000,B
2016,SDP,NL,shielja02,21000000,P
2016,SFG,NL,cainma01,20833333,P
2016,SFG,NL,poseybu01,20777778,B
2016,LAD,NL,crawfca02,20750000,B
2016,LAA,AL,wilsocj01,20500000,B
2016,LAA,AL,weaveje02,20200000,P
2016,BOS,AL,porceri01,20125000,P
2016,CIN,NL,vottojo01,20000000,B
2016,TEX,AL,choosh01,20000000,B
2016,TOR,AL,tulowtr01,20000000,B
2016,CHC,NL,heywaja01,19555288,B
2016,STL,NL,wainwad01,19500000,P
2016,NYM,NL,wrighda03,19364801,B
2016,MIL,NL,braunry02,19315013,B
2016,SFG,NL,pencehu01,18700000,B
2016,CIN,NL,baileho02,18000000,P
2016,DET,AL,martivi01,18000000,B
2016,DET,AL,zimmejo02,18000000,P
2016,LAD,NL,ethiean01,18000000,B
2016,TEX,AL,beltrad01,18000000,B
2016,BOS,AL,sandopa01,17600000,B
2016,SFG,NL,cuetojo01,17500000,P
2016,COL,NL,gonzaca01,17428571,B
2016,NYY,AL,mccanbr01,17000000,B
2016,STL,NL,hollima01,17000000,B
2016,DET,AL,sanchan01,16800000,P
2016,BAL,AL,jonesad01,16329674,B
2016,BAL,AL,mileywa01,16329674,P
2016,LAA,AL,troutmi01,16083333,B
2016,BOS,AL,ortizda01,16000000,B
2016,CHC,NL,lackejo01,16000000,P
2016,NYM,NL,grandcu01,16000000,B
2016,BAL,AL,wietema01,15800000,B
2016,HOU,AL,rasmuco01,15800000,B
2016,LAD,NL,anderbr04,15800000,P
2016,CHW,AL,danksjo01,15750000,P
2016,SDP,NL,uptonbj01,15450000,B
2016,TEX,AL,andruel01,15333333,B
2016,NYY,AL,beltrca01,15000000,B
2016,SFG,NL,peavyja01,15000000,P
2016,TOR,AL,martiru01,15000000,B
