playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
howeljp01,2016,1,LAN,NL,1,1,64,0,0,0,0,152,56,23,4,15,44,0.281,4.09,2,3,3,0,220,11,23,1,2,4
sippto01,2016,1,HOU,AL,1,2,60,0,0,0,1,131,52,24,12,18,40,0.297,4.95,0,0,1,0,195,13,26,0,1,6
osichjo01,2016,1,SFN,NL,1,3,59,0,0,0,0,109,31,19,7,19,25,0.228,4.71,1,2,3,0,160,9,20,1,0,4
rzepcma01,2016,1,OAK,AL,1,0,56,0,0,0,0,108,38,12,1,24,37,0.266,3,6,5,2,0,169,15,14,0,0,5
mcgowdu01,2016,1,MIA,NL,1,3,55,0,0,0,1,201,49,21,7,33,63,0.202,2.82,7,4,2,0,279,24,26,0,2,6
nunovi01,2016,1,SEA,AL,1,1,55,1,0,0,0,176,67,23,11,11,51,0.289,3.53,2,0,2,2,247,14,23,0,2,4
lowema01,2016,1,DET,AL,1,3,54,0,0,0,0,148,57,39,12,21,49,0.291,7.11,2,2,1,0,224,26,41,0,6,0
cecilbr01,2016,1,TOR,AL,1,7,54,0,0,0,0,110,39,16,6,8,45,0.269,3.93,0,0,2,0,157,8,17,1,1,3
cervehu01,2016,1,ATL,NL,1,0,50,0,0,0,0,102,20,12,2,23,35,0.175,3.18,5,6,1,0,139,8,14,1,0,5
diazju03,2016,1,CIN,NL,1,1,45,0,0,0,0,129,36,15,8,19,37,0.224,3.14,1,5,1,0,182,11,20,1,0,4
melanma01,2016,1,PIT,NL,1,1,45,0,0,0,30,125,31,7,2,9,38,0.205,1.51,0,1,1,0,163,39,10,0,2,2
burgoen02,2016,1,ARI,NL,1,2,43,0,0,0,1,124,38,26,5,23,43,0.253,5.66,5,5,1,1,178,16,27,2,2,5
vizcaar01,2016,1,ATL,NL,1,4,43,0,0,0,10,116,37,19,3,26,50,0.24,4.42,3,3,1,1,182,24,25,1,0,2
ramosed02,2016,1,PHI,NL,1,3,42,0,0,0,0,120,36,17,5,11,40,0.243,3.83,1,1,0,1,160,6,18,1,0,2
milleju02,2016,1,COL,NL,1,1,40,0,0,0,0,128,50,27,6,20,45,0.298,5.7,0,3,2,1,194,13,27,0,3,3
romose01,2016,1,SFN,NL,1,0,40,0,0,0,4,92,26,9,5,7,33,0.236,2.64,1,1,0,0,117,13,9,0,0,4
chaveje01,2016,1,TOR,AL,1,2,39,0,0,0,0,124,43,21,9,10,42,0.269,4.57,0,1,2,0,173,6,22,0,1,4
caminar01,2016,1,PIT,NL,1,2,39,0,0,0,1,123,46,16,4,22,32,0.289,3.51,0,1,4,0,187,9,17,1,1,5
abadfe01,2016,1,MIN,AL,1,4,39,0,0,0,1,102,27,10,2,14,29,0.22,2.65,2,0,0,1,138,8,11,0,1,6
oflaher01,2016,1,ATL,NL,1,4,39,0,0,0,0,86,39,22,3,11,22,0.32,6.91,2,3,2,0,136,8,25,1,0,3
smithjo05,2016,1,LAA,AL,1,4,38,0,0,0,6,113,36,16,4,13,25,0.257,3.82,3,0,5,1,160,16,16,1,1,4
storedr01,2016,1,TOR,AL,1,3,38,0,0,0,3,100,43,23,6,10,32,0.309,6.21,1,0,6,1,156,13,23,1,0,2
gartory01,2016,1,TBA,AL,1,2,37,0,0,0,1,118,44,19,5,11,33,0.277,4.35,2,2,0,0,171,14,20,1,0,4
flynnbr01,2016,1,KCA,AL,1,2,36,1,0,0,0,166,38,16,5,23,44,0.198,2.6,0,8,1,0,221,11,19,4,1,11
farquda01,2016,1,TBA,AL,1,0,35,0,0,0,0,106,33,12,8,15,46,0.241,3.06,1,1,4,0,158,11,14,2,0,1
knebeco01,2016,1,MIL,NL,1,4,35,0,0,0,2,98,32,17,3,16,38,0.252,4.68,3,1,1,0,145,7,20,0,1,1
dominjo01,2016,1,SDN,NL,1,0,34,0,0,0,0,107,34,20,5,17,20,0.258,5.05,1,2,4,0,155,6,23,1,1,8
ottavad01,2016,1,COL,NL,1,3,34,0,0,0,7,81,18,8,3,7,35,0.184,2.67,0,4,2,0,107,19,9,0,0,1
melanma01,2016,2,WAS,NL,1,1,30,0,0,0,17,89,21,6,1,3,27,0.202,1.82,0,3,0,0,107,28,6,0,0,4
riverfe01,2016,2,PIT,NL,1,3,28,0,0,0,0,82,23,10,3,18,39,0.221,3.29,1,2,1,0,124,3,13,0,1,1
chapmar01,2016,2,CHN,NL,1,1,28,0,0,0,16,80,12,3,0,10,46,0.132,1.01,0,6,0,0,102,23,4,0,1,0
achteaj01,2016,1,LAA,AL,1,0,27,0,0,0,0,113,43,13,7,12,14,0.295,3.11,1,0,1,0,160,17,13,0,1,7
gonzase01,2016,1,PHI,NL,1,2,27,0,0,0,0,106,40,22,4,7,34,0.286,5.6,1,0,1,1,151,12,22,0,3,1
ramirjc01,2016,1,CIN,NL,1,3,27,0,0,0,1,97,35,23,7,9,28,0.278,6.4,2,3,0,0,139,7,24,1,3,0
smithwi04,2016,1,MIL,NL,1,3,27,0,0,0,0,66,18,9,3,9,22,0.225,3.68,1,3,1,0,92,3,13,1,1,2
swarzan01,2016,1,NYA,AL,1,2,26,0,0,0,0,93,28,19,10,7,31,0.243,5.52,0,1,1,0,124,6,19,0,1,3
benoijo01,2016,1,SEA,AL,1,1,26,0,0,0,0,73,20,14,4,15,28,0.215,5.18,1,1,1,0,111,2,16,1,1,0
peraljo01,2016,1,SEA,AL,1,0,26,0,0,0,0,70,24,14,7,7,28,0.261,5.4,0,0,0,0,100,5,14,0,1,0
smithwi04,2016,2,SFN,NL,1,1,26,0,0,0,0,55,13,6,0,9,26,0.197,2.95,0,0,0,0,75,1,6,0,0,1
putnaza01,2016,1,CHA,AL,1,0,25,0,0,0,0,82,25,7,2,11,30,0.248,2.3,1,2,0,0,114,6,7,0,2,1
escobed02,2016,1,ARI,NL,1,2,25,2,0,0,0,71,33,19,4,12,17,0.333,7.23,3,0,4,0,116,3,21,1,0,3
chargjt01,2016,1,MIN,AL,1,1,25,0,0,0,0,69,25,12,0,12,17,0.291,4.7,0,3,1,0,100,10,12,0,1,5
mariomi01,2016,1,PHI,NL,1,0,25,0,0,0,2,65,18,14,5,14,23,0.222,5.82,1,2,0,0,95,4,14,0,0,0
triggan01,2016,1,OAK,AL,1,1,24,6,0,0,0,169,56,27,5,13,55,0.255,4.31,1,2,3,0,238,7,30,1,1,3
murraco01,2016,1,PHI,NL,1,1,24,0,0,0,0,95,34,22,6,13,31,0.276,6.25,1,5,2,0,142,4,22,2,1,3
obergsc01,2016,1,COL,NL,1,1,24,0,0,0,1,78,26,15,3,11,20,0.257,5.19,2,3,1,0,113,9,15,0,0,4
mahlegr01,2016,1,LAA,AL,1,0,24,0,0,0,0,55,23,11,4,10,14,0.315,5.4,2,1,2,0,86,1,13,1,0,4
ynoami01,2016,1,CHA,AL,1,0,23,0,0,0,0,90,20,10,0,17,30,0.183,3,2,4,5,0,135,7,11,1,2,1
chaveje01,2016,2,LAN,NL,1,0,23,0,0,0,0,77,28,12,3,8,21,0.277,4.21,3,0,0,0,109,3,14,0,0,3
hoytja01,2016,1,HOU,AL,1,1,22,0,0,0,0,66,16,11,5,9,28,0.203,4.5,1,3,1,0,91,7,12,1,1,1
fieldjo03,2016,2,LAN,NL,1,0,22,0,0,0,0,58,20,6,2,8,22,0.256,2.79,2,0,1,0,87,5,8,0,0,1
hardybl01,2016,1,DET,AL,1,0,21,0,0,0,0,77,25,10,2,12,20,0.253,3.51,1,1,0,0,112,10,11,1,0,3
roech01,2016,2,ATL,NL,1,0,21,0,0,0,0,60,14,8,0,7,26,0.2,3.6,1,0,1,0,80,5,8,0,2,2
grillja01,2016,1,ATL,NL,1,2,21,0,0,0,2,51,16,10,2,13,23,0.242,5.29,1,1,1,0,81,8,11,0,1,1
gantjo01,2016,1,ATL,NL,1,4,20,7,0,0,0,150,54,27,7,21,49,0.278,4.86,3,4,2,0,222,6,32,3,2,4
deanpa02,2016,1,MIN,AL,1,6,19,9,0,0,0,202,88,47,13,23,50,0.321,6.28,1,1,0,0,300,4,47,1,2,11
